task_id,task_name,assigned_to,department,priority,status,created_date,due_date,estimated_hours,actual_hours,tags
1,Create marketing landing page,Eve,Backend,Medium,In Progress,04-08-2025,24-08-2025,16,,"optimization, deployment, frontend"
2,Update mobile app UI,Grace,UI/UX,High,In Progress,22-06-2025,12-07-2025,7,,db
3,Fix bug in login module,Hannah,UI/UX,High,Pending,03-05-2025,07-05-2025,12,,"payment, setup, alert"
4,Implement user authentication API,David,Backend,High,In Progress,11-10-2025,15-10-2025,5,,frontend
5,Improve page load performance,Hannah,DevOps,Medium,Completed,13-07-2025,03-08-2025,12,11,design
6,Setup CI/CD pipeline,Alice,QA,Medium,In Progress,19-09-2025,06-10-2025,5,,optimization
7,Prepare deployment scripts,David,Backend,Low,In Progress,11-06-2025,14-06-2025,14,,"testing, design"
8,Write unit tests for backend,Hannah,QA,Medium,In Progress,12-06-2025,13-06-2025,4,,feedback
9,Implement user authentication API,Eve,DevOps,High,In Progress,28-08-2025,14-09-2025,4,,testing
10,Develop notification system,David,Backend,Low,In Progress,09-10-2025,30-10-2025,13,,design
11,Implement user authentication API,Bob,Data,Medium,Pending,03-08-2025,12-08-2025,10,,"integration, deployment"
12,Update mobile app UI,Eve,QA,Low,Completed,08-09-2025,26-09-2025,10,3,setup
13,Create dashboard UI,David,Frontend,Medium,Pending,10-07-2025,14-07-2025,5,,"payment, feedback, dashboard"
14,Setup CI/CD pipeline,David,Backend,Low,Pending,31-08-2025,21-09-2025,2,,payment
15,Collect user feedback,Hannah,DevOps,Medium,Pending,28-08-2025,18-09-2025,10,,frontend
16,Deploy application to staging,Carol,QA,Medium,Pending,11-06-2025,13-06-2025,8,,"dashboard, deployment"
17,Integrate payment gateway,David,UI/UX,High,Pending,19-05-2025,26-05-2025,13,,"api, backend"
18,Implement user authentication API,Eve,UI/UX,Medium,In Progress,17-07-2025,22-07-2025,4,,"dashboard, testing"
19,Write unit tests for backend,Eve,Frontend,Medium,Pending,06-08-2025,09-08-2025,11,,payment
20,Implement user authentication API,Alice,Frontend,High,In Progress,26-07-2025,04-08-2025,5,,"setup, optimization, feedback"
21,Write unit tests for backend,Bob,Mobile,Medium,In Progress,04-10-2025,05-10-2025,6,,dashboard
22,Implement search functionality,Eve,Data,High,Completed,14-09-2025,24-09-2025,3,3,"frontend, testing"
